REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Individuals_affected,Families_affected,Houses_damaged,Houses_destroyed,Season,Latitude,Longitude
Eastern,7,Laghman,701,Mehtarlam,2016-01-31,Flood / flash flood,0,0,62,10,8,2,Winter,34.666954,70.071718
North Eastern,15,Badakhshan,1504,Arghanjkhwa,2016-02-13,Avalanche,3,0,21,3,0,0,Winter,37.366577,70.970672
Central Highland,22,Daykundi,2207,Sang-e-Takht,2016-03-07,Flood / flash flood,10,1,19,8,0,5,Spring,34.178306,65.86074
Northern,18,Balkh,1803,Shortepa,2016-03-10,Flood / flash flood,0,0,1533,219,0,219,Spring,37.213477,66.83258
Western,31,Farah,3101,Farah,2016-03-11,Flood / flash flood,18,9,996,150,88,32,Spring,32.23408,62.222932
Western,30,Hirat,3003,Kushk,2016-03-11,Flood / flash flood,0,0,169,21,21,0,Spring,35.013721,62.201428
Eastern,13,Kunar,1306,Shigal Wa Sheltan,2016-03-13,Flood / flash flood,0,0,21,3,2,0,Spring,35.019947,71.233756
Eastern,13,Kunar,1301,Asadabad,2016-03-13,Flood / flash flood,0,0,7,1,1,0,Spring,34.859883,71.117064
Eastern,13,Kunar,1313,Chapadara,2016-03-13,Flood / flash flood,0,0,42,6,6,0,Spring,34.901138,70.700645
Eastern,14,Nuristan,1403,Duab,2016-03-13,Flood / flash flood,0,0,7,1,1,0,Spring,35.216128,70.35288
Eastern,13,Kunar,1310,Dangam,2016-03-13,Flood / flash flood,0,0,28,4,4,0,Spring,35.015631,71.446189
Eastern,13,Kunar,1311,Barkunar,2016-03-13,Flood / flash flood,0,0,28,4,4,0,Spring,35.062438,71.392415
Eastern,13,Kunar,1302,Watapur,2016-03-13,Flood / flash flood,0,0,15,2,2,0,Spring,34.972029,71.079464
Eastern,14,Nuristan,1404,Nurgeram,2016-03-13,Flood / flash flood,0,0,77,11,11,0,Spring,35.073995,70.469496
Eastern,13,Kunar,1307,Dara-e-Pech,2016-03-13,Flood / flash flood,0,0,56,8,4,4,Spring,34.931473,70.911379
Southern,32,Hilmand,3204,Nawa-e-Barakzaiy,2016-03-17,Flood / flash flood,0,0,83,11,11,0,Spring,31.355971,64.217749
Southern,32,Hilmand,3203,Nad-e-Ali,2016-03-17,Flood / flash flood,0,0,537,72,70,2,Spring,31.598961,63.835034
Southern,24,Zabul,2401,Qalat,2016-03-17,Flood / flash flood,0,0,19,3,0,3,Spring,32.187366,66.953465
Western,30,Hirat,3006,Pashtunzarghun,2016-03-17,Flood / flash flood,0,0,82,10,10,0,Spring,34.13202,62.728806
Central Highland,22,Daykundi,2209,Miramor,2016-03-17,Flood / flash flood,0,1,85,11,0,11,Spring,33.826512,66.987777
Southern,33,Kandahar,3305,Daman,2016-03-18,Flood / flash flood,0,0,135,20,18,2,Spring,31.156011,65.741152
Southern,32,Hilmand,3201,Lashkargah,2016-03-18,Flood / flash flood,0,0,159,21,21,0,Spring,31.451536,64.522944
Southern,33,Kandahar,3311,Spinboldak,2016-03-18,Flood / flash flood,0,0,230,34,34,0,Spring,30.952222,66.135407
Western,21,Ghor,2101,Chaghcharan,2016-03-19,Flood / flash flood,0,0,63,7,6,1,Spring,34.524334,65.238265
Central Highland,22,Daykundi,2208,Kajran,2016-03-19,Flood / flash flood,0,0,4,1,0,1,Spring,33.225734,65.618465
North Eastern,15,Badakhshan,1516,Kofab,2016-03-22,Avalanche,2,1,0,0,0,0,Spring,37.957225,70.699284
South Eastern,11,Ghazni,1101,Ghazni,2016-03-24,Flood / flash flood,0,0,35,5,3,0,Spring,33.541807,68.441991
Central Highland,22,Daykundi,2208,Kajran,2016-03-25,Flood / flash flood,0,0,6,1,0,1,Spring,33.225734,65.618465
Capital,3,Parwan,301,Charikar,2016-03-26,Flood / flash flood,0,0,107,15,9,6,Spring,34.955632,69.120882
Capital,3,Parwan,306,Salang,2016-03-26,Flood / flash flood,0,0,48,7,0,7,Spring,35.293998,69.163208
Capital,3,Parwan,305,Saydkhel,2016-03-26,Flood / flash flood,0,0,8,1,0,1,Spring,35.04724,69.282208
Capital,3,Parwan,304,Bagram,2016-03-26,Flood / flash flood,0,0,8,1,0,1,Spring,34.905671,69.377716
Capital,3,Parwan,302,Jabalussaraj,2016-03-26,Flood / flash flood,0,0,16,2,0,2,Spring,35.12966,69.202044
South Eastern,12,Paktya,1202,Sayedkaram,2016-03-31,Flood / flash flood,0,0,48,5,5,0,Spring,33.731336,69.469893
Central Highland,10,Bamyan,1001,Bamyan,2016-03-31,Landslide / mudflow,0,0,10,2,2,0,Spring,34.755695,67.640391
South Eastern,12,Paktya,1201,Gardez,2016-03-31,Flood / flash flood,0,0,96,10,8,0,Spring,33.599864,69.229343
South Eastern,12,Paktya,1208,Alikhel (Jaji),2016-03-31,Flood / flash flood,2,0,892,96,31,0,Spring,33.954034,69.697367
South Eastern,12,Paktya,1210,Chamkani,2016-03-31,Flood / flash flood,0,0,113,13,13,0,Spring,33.793514,69.791159
Central Highland,10,Bamyan,1007,Waras,2016-03-31,Flood / flash flood,0,0,17,3,3,0,Spring,34.163208,66.930112
South Eastern,12,Paktya,1206,Zadran,2016-03-31,Flood / flash flood,0,0,808,89,29,0,Spring,33.416216,69.424522
Central Highland,10,Bamyan,1004,Panjab,2016-04-01,Flood / flash flood,0,0,241,33,23,10,Spring,34.38689,66.930673
Central Highland,22,Daykundi,2206,Shahrestan,2016-04-01,Flood / flash flood,0,0,21,4,0,4,Spring,33.694575,66.480494
Central Highland,22,Daykundi,2203,Khadir,2016-04-01,Flood / flash flood,1,0,24,4,38,3,Spring,33.866089,65.787183
Central Highland,22,Daykundi,2204,kiti,2016-04-01,Flood / flash flood,2,0,488,67,42,30,Spring,33.53046,65.74766
Capital,1,Kabul,101,Kabul,2016-04-01,Flood / flash flood,0,2,2016,288,1500,0,Spring,34.527913,69.169074
Capital,1,Kabul,107,Bagrami,2016-04-01,Flood / flash flood,0,0,3374,482,482,0,Spring,34.48912,69.305418
Central Highland,10,Bamyan,1004,Panjab,2016-04-01,Earthquake,0,0,10,1,1,0,Spring,34.38689,66.930673
Central Highland,22,Daykundi,2201,Nili,2016-04-01,Flood / flash flood,3,0,107,2,16,1,Spring,33.741085,66.078538
Central Highland,22,Daykundi,2209,Miramor,2016-04-01,Flood / flash flood,0,0,27,4,0,4,Spring,33.826512,66.987777
Central Highland,22,Daykundi,2208,Kajran,2016-04-01,Flood / flash flood,0,0,168,26,12,7,Spring,33.225734,65.618465
Central Highland,10,Bamyan,1007,Waras,2016-04-01,Flood / flash flood,0,0,97,15,6,9,Spring,34.163208,66.930112
Southern,23,Uruzgan,2302,Chora,2016-04-02,Flood / flash flood,1,0,466,66,64,0,Spring,33.02258,66.239689
Southern,23,Uruzgan,2301,Tirinkot,2016-04-02,Flood / flash flood,4,0,2328,339,290,39,Spring,32.65496,65.849924
Eastern,7,Laghman,704,Alingar,2016-04-02,Flood / flash flood,0,2,100,17,0,3,Spring,34.833038,70.425705
Capital,1,Kabul,107,Bagrami,2016-04-02,Flood / flash flood,0,0,1480,202,55,147,Spring,34.48912,69.305418
Eastern,7,Laghman,701,Mehtarlam,2016-04-02,Flood / flash flood,1,1,34,5,0,0,Spring,34.666954,70.071718
Western,30,Hirat,3006,Pashtunzarghun,2016-04-02,Flood / flash flood,1,0,21,4,0,4,Spring,34.13202,62.728806
Central Highland,10,Bamyan,1001,Bamyan,2016-04-02,Flood / flash flood,0,0,45,3,0,3,Spring,34.755695,67.640391
Central Highland,22,Daykundi,2209,Miramor,2016-04-02,Flood / flash flood,1,0,87,12,13,8,Spring,33.826512,66.987777
Central Highland,22,Daykundi,2201,Nili,2016-04-02,Flood / flash flood,0,0,8,2,2,0,Spring,33.741085,66.078538
Central Highland,10,Bamyan,1004,Panjab,2016-04-02,Flood / flash flood,1,0,897,128,130,4,Spring,34.38689,66.930673
Western,21,Ghor,2101,Chaghcharan,2016-04-02,Flood / flash flood,0,0,23,4,3,1,Spring,34.524334,65.238265
Central Highland,22,Daykundi,2206,Shahrestan,2016-04-02,Flood / flash flood,0,0,114,19,44,18,Spring,33.694575,66.480494
Eastern,7,Laghman,703,Qarghayi,2016-04-02,Flood / flash flood,0,0,56,6,6,0,Spring,34.543504,70.214523
Central Highland,22,Daykundi,2204,kiti,2016-04-02,Flood / flash flood,0,0,32,4,4,0,Spring,33.53046,65.74766
Eastern,7,Laghman,705,Dawlatshah,2016-04-02,Flood / flash flood,0,0,16,4,0,1,Spring,35.03591,70.00979
Capital,1,Kabul,101,Kabul,2016-04-02,Flood / flash flood,0,0,147,21,9,12,Spring,34.527913,69.169074
Central Highland,10,Bamyan,1001,Bamyan,2016-04-03,Flood / flash flood,0,0,30,4,0,4,Spring,34.755695,67.640391
South Eastern,11,Ghazni,1113,Jaghuri,2016-04-03,Flood / flash flood,0,3,169,41,32,9,Spring,33.09056,67.505361
South Eastern,11,Ghazni,1109,Jaghatu,2016-04-03,Flood / flash flood,0,2,49,12,8,4,Spring,33.557445,68.126387
Central Highland,10,Bamyan,1004,Panjab,2016-04-03,Flood / flash flood,0,0,244,34,34,0,Spring,34.38689,66.930673
Central Highland,22,Daykundi,2209,Miramor,2016-04-03,Flood / flash flood,0,0,0,10,0,0,Spring,33.826512,66.987777
Capital,3,Parwan,306,Salang,2016-04-03,Flood / flash flood,0,0,16,2,0,2,Spring,35.293998,69.163208
Central Highland,10,Bamyan,1003,Yakawlang,2016-04-03,Flood / flash flood,0,0,34,3,3,0,Spring,35.039948,66.994871
Capital,3,Parwan,309,Shekhali,2016-04-03,Flood / flash flood,0,0,45,5,2,3,Spring,34.961071,68.393194
South Eastern,11,Ghazni,1112,Nawur,2016-04-03,Flood / flash flood,0,1,48,12,11,1,Spring,33.799362,67.787358
Eastern,6,Nangarhar,618,Shinwar,2016-04-03,Flood / flash flood,0,0,100,14,9,5,Spring,34.205904,70.816901
Capital,3,Parwan,305,Saydkhel,2016-04-03,Flood / flash flood,0,0,6,1,1,0,Spring,35.04724,69.282208
Eastern,6,Nangarhar,601,Jalalabad,2016-04-03,Flood / flash flood,0,0,33,4,2,2,Spring,34.419822,70.436525
Capital,3,Parwan,301,Charikar,2016-04-03,Flood / flash flood,0,0,84,12,7,5,Spring,34.955632,69.120882
South Eastern,11,Ghazni,1117,Malestan,2016-04-03,Flood / flash flood,0,0,71,20,15,5,Spring,33.279368,67.240794
Eastern,6,Nangarhar,604,Khogyani,2016-04-03,Flood / flash flood,0,0,17,2,0,2,Spring,34.446776,70.68128
Eastern,6,Nangarhar,622,Durbaba,2016-04-03,Flood / flash flood,2,0,161,24,22,2,Spring,34.098842,70.943709
Western,21,Ghor,2101,Chaghcharan,2016-04-03,Flood / flash flood,0,0,18,3,0,3,Spring,34.524334,65.238265
Eastern,6,Nangarhar,605,Chaparhar,2016-04-03,Flood / flash flood,0,0,40,7,2,5,Spring,34.298027,70.367422
Eastern,6,Nangarhar,606,Rodat,2016-04-03,Flood / flash flood,0,0,16,2,0,2,Spring,34.256662,70.550781
Capital,3,Parwan,303,Shinwari,2016-04-03,Flood / flash flood,0,0,42,7,5,2,Spring,35.135028,68.973098
Southern,32,Hilmand,3204,Nawa-e-Barakzaiy,2016-04-04,Flood / flash flood,0,0,231,33,33,0,Spring,31.355971,64.217749
Central Highland,22,Daykundi,2201,Nili,2016-04-04,Flood / flash flood,1,0,7,1,0,0,Spring,33.741085,66.078538
Western,21,Ghor,2101,Chaghcharan,2016-04-04,Flood / flash flood,0,0,140,20,20,0,Spring,34.524334,65.238265
Central Highland,10,Bamyan,1001,Bamyan,2016-04-04,Flood / flash flood,0,0,23,3,1,2,Spring,34.755695,67.640391
Central Highland,10,Bamyan,1005,Shibar,2016-04-04,Flood / flash flood,0,0,54,7,7,0,Spring,34.891351,68.027679
South Eastern,11,Ghazni,1113,Jaghuri,2016-04-04,Flood / flash flood,0,4,60,15,7,8,Spring,33.09056,67.505361
South Eastern,11,Ghazni,1117,Malestan,2016-04-04,Flood / flash flood,1,3,181,54,30,14,Spring,33.279368,67.240794
North Eastern,15,Badakhshan,1507,Yawan,2016-04-05,Flood / flash flood,0,0,21,3,0,3,Spring,37.514601,70.388243
South Eastern,11,Ghazni,1109,Jaghatu,2016-04-05,Flood / flash flood,0,0,45,8,6,2,Spring,33.557445,68.126387
Capital,5,Logar,502,Khoshi,2016-04-07,Flood / flash flood,0,0,269,76,64,12,Spring,33.992404,69.292073
Western,21,Ghor,2101,Chaghcharan,2016-04-07,Flood / flash flood,0,0,20,2,0,2,Spring,34.524334,65.238265
Central Highland,10,Bamyan,1001,Bamyan,2016-04-07,Flood / flash flood,0,0,14,1,0,1,Spring,34.755695,67.640391
Central Highland,10,Bamyan,1001,Bamyan,2016-04-07,Earthquake,0,0,16,3,0,3,Spring,34.755695,67.640391
Capital,5,Logar,506,Kharwar,2016-04-07,Flood / flash flood,0,0,24,6,6,0,Spring,33.702837,68.890243
North Eastern,9,Baghlan,901,Pul-e-Khumri,2016-04-08,Flood / flash flood,0,0,812,116,80,36,Spring,36.011946,68.636293
Capital,5,Logar,501,Pul-e-Alam,2016-04-08,Flood / flash flood,0,0,114,31,23,8,Spring,33.991566,69.046969
Capital,5,Logar,503,Mohammadagha,2016-04-08,Flood / flash flood,0,0,55,20,19,1,Spring,34.201218,69.194122
Capital,1,Kabul,103,Shakardara,2016-04-08,Flood / flash flood,0,0,29,7,0,7,Spring,34.66827,69.06244
Capital,1,Kabul,101,Kabul,2016-04-08,Flood / flash flood,7,0,434,120,69,51,Spring,34.527913,69.169074
Central Highland,10,Bamyan,1004,Panjab,2016-04-09,Flood / flash flood,0,0,77,13,1,1,Spring,34.38689,66.930673
Eastern,13,Kunar,1309,Khaskunar,2016-04-10,Flood / flash flood,0,0,56,8,8,0,Spring,34.599138,70.919872
North Eastern,16,Takhar,1609,Rostaq,2016-04-10,Earthquake,0,0,21,3,1,2,Spring,37.110428,69.836849
Eastern,13,Kunar,1306,Shigal Wa Sheltan,2016-04-10,Flood / flash flood,0,0,84,12,6,0,Spring,35.019947,71.233756
Eastern,13,Kunar,1314,Nurgal,2016-04-10,Flood / flash flood,0,0,7,1,1,0,Spring,34.700584,70.728239
Eastern,14,Nuristan,1401,Poruns,2016-04-10,Earthquake,0,0,35,5,5,0,Spring,35.421264,70.787779
Eastern,14,Nuristan,1401,Poruns,2016-04-10,Flood / flash flood,0,0,177,25,25,0,Spring,35.421264,70.787779
Eastern,13,Kunar,1303,Narang,2016-04-10,Flood / flash flood,0,0,14,2,2,0,Spring,34.817816,71.019069
Eastern,13,Kunar,1305,Marawara,2016-04-10,Earthquake,0,0,21,3,3,0,Spring,34.856211,71.219828
South Eastern,12,Paktya,1201,Gardez,2016-04-10,Earthquake,0,0,12,1,0,1,Spring,33.599864,69.229343
Eastern,13,Kunar,1306,Shigal Wa Sheltan,2016-04-10,Earthquake,0,0,35,5,5,0,Spring,35.019947,71.233756
Eastern,13,Kunar,1301,Asadabad,2016-04-10,Earthquake,0,0,47,7,7,0,Spring,34.859883,71.117064
Eastern,13,Kunar,1313,Chapadara,2016-04-10,Flood / flash flood,0,0,56,8,4,0,Spring,34.901138,70.700645
North Eastern,16,Takhar,1606,Namakab,2016-04-10,Earthquake,0,0,259,37,37,0,Spring,36.431875,69.69493
Eastern,13,Kunar,1301,Asadabad,2016-04-10,Flood / flash flood,0,0,394,56,32,0,Spring,34.859883,71.117064
Eastern,13,Kunar,1307,Dara-e-Pech,2016-04-10,Flood / flash flood,0,0,14,2,2,0,Spring,34.931473,70.911379
North Eastern,15,Badakhshan,1505,Kohestan,2016-04-10,Earthquake,0,0,42,6,6,0,Spring,37.410686,70.662149
Capital,8,Panjsher,806,Onaba(Anawa),2016-04-11,Flood / flash flood,0,0,47,5,2,3,Spring,35.231519,69.374122
Capital,8,Panjsher,804,Dara,2016-04-12,Flood / flash flood,0,0,59,9,5,4,Spring,35.233269,69.746063
Eastern,13,Kunar,1308,Chawkay,2016-04-12,Flood / flash flood,7,1,14,2,0,2,Spring,34.745481,70.862733
Capital,8,Panjsher,803,Rukha,2016-04-13,Flood / flash flood,0,0,80,10,5,5,Spring,35.245062,69.484266
North Eastern,16,Takhar,1601,Taloqan,2016-04-14,Flood / flash flood,0,0,388,62,62,0,Spring,36.742722,69.523116
Central Highland,22,Daykundi,2202,Ashtarlay,2016-04-14,Flood / flash flood,0,0,7,1,0,1,Spring,34.120485,66.176998
Central Highland,22,Daykundi,2202,Ashtarlay,2016-04-15,Flood / flash flood,0,0,21,3,0,3,Spring,34.120485,66.176998
Western,29,Badghis,2903,Abkamari,2016-04-16,Flood / flash flood,4,0,0,0,0,0,Spring,35.013638,62.966459
Western,30,Hirat,3007,Karukh,2016-04-16,Flood / flash flood,0,0,38,6,0,6,Spring,34.483692,62.656587
Central Highland,22,Daykundi,2202,Ashtarlay,2016-04-16,Flood / flash flood,0,0,126,18,5,18,Spring,34.120485,66.176998
Northern,28,Faryab,2801,Maymana,2016-04-16,Flood / flash flood,0,0,72,10,10,0,Spring,35.901683,64.758825
Western,29,Badghis,2905,Jawand,2016-04-16,Flood / flash flood,1,1,0,0,0,0,Spring,34.972066,64.274702
North Eastern,9,Baghlan,904,Doshi,2016-04-16,Flood / flash flood,0,0,329,47,42,5,Spring,35.582004,68.661703
Western,30,Hirat,3005,Guzara,2016-04-16,Flood / flash flood,0,0,20,3,3,0,Spring,34.040952,62.013878
Northern,18,Balkh,1813,Chemtal,2016-04-16,Flood / flash flood,0,0,304,41,41,0,Spring,36.520381,66.603756
Northern,19,Samangan,1902,Hazrat-e- Sultan,2016-04-16,Flood / flash flood,0,0,972,143,88,55,Spring,36.336484,67.867911
Central Highland,22,Daykundi,2209,Miramor,2016-04-16,Flood / flash flood,0,0,49,7,7,5,Spring,33.826512,66.987777
Western,21,Ghor,2101,Chaghcharan,2016-04-16,Flood / flash flood,0,0,35,5,0,0,Spring,34.524334,65.238265
North Eastern,9,Baghlan,901,Pul-e-Khumri,2016-04-16,Flood / flash flood,0,0,1017,241,179,62,Spring,36.011946,68.636293
North Eastern,9,Baghlan,910,Burka,2016-04-16,Flood / flash flood,11,1,252,36,6,26,Spring,36.265304,69.161208
Capital,8,Panjsher,801,Bazarak,2016-04-16,Flood / flash flood,0,0,49,6,2,4,Spring,35.383449,69.497632
Central Highland,10,Bamyan,1001,Bamyan,2016-04-16,Landslide / mudflow,0,0,177,24,7,0,Spring,34.755695,67.640391
Northern,18,Balkh,1801,Mazar-e-Sharif,2016-04-16,Flood / flash flood,0,0,250,51,33,18,Spring,36.703226,67.112903
Central Highland,22,Daykundi,2206,Shahrestan,2016-04-16,Flood / flash flood,0,0,47,6,3,5,Spring,33.694575,66.480494
Western,30,Hirat,3002,Injil,2016-04-16,Flood / flash flood,1,0,404,54,23,31,Spring,34.411669,62.207729
Northern,19,Samangan,1904,Dara-e- Suf-e- Payin,2016-04-16,Flood / flash flood,4,0,156,27,23,4,Spring,35.948532,67.297894
Central Highland,22,Daykundi,2204,kiti,2016-04-16,Flood / flash flood,0,0,56,8,0,8,Spring,33.53046,65.74766
Western,29,Badghis,2901,Qala-e-Naw,2016-04-16,Flood / flash flood,0,0,13,2,2,0,Spring,34.861003,63.130681
Western,29,Badghis,2902,Muqur,2016-04-16,Flood / flash flood,12,2,0,0,0,0,Spring,35.108166,63.260315
Capital,8,Panjsher,807,Paryan,2016-04-16,Flood / flash flood,0,0,93,13,8,5,Spring,35.678605,70.063764
Northern,18,Balkh,1809,Khulm,2016-04-16,Flood / flash flood,0,2,955,153,32,121,Spring,36.842767,67.681307
Northern,18,Balkh,1802,Nahr-e-Shahi,2016-04-16,Flood / flash flood,0,0,374,66,51,15,Spring,36.827572,67.23353
North Eastern,15,Badakhshan,1502,Yaftal-e-Sufla,2016-04-17,Flood / flash flood,0,0,57,5,1,1,Spring,37.29251,70.36165
Central Highland,10,Bamyan,1001,Bamyan,2016-04-17,Flood / flash flood,0,0,154,22,7,17,Spring,34.755695,67.640391
Central Highland,22,Daykundi,2203,Khadir,2016-04-17,Flood / flash flood,1,0,107,16,0,17,Spring,33.866089,65.787183
North Eastern,15,Badakhshan,1503,Argo,2016-04-17,Flood / flash flood,0,0,115,21,5,3,Spring,37.031002,70.413852
Western,30,Hirat,3005,Guzara,2016-04-17,Flood / flash flood,0,0,7,1,0,0,Spring,34.040952,62.013878
Northern,28,Faryab,2803,Pashtunkot,2016-04-17,Flood / flash flood,0,0,250,36,33,3,Spring,35.838939,64.782672
North Eastern,16,Takhar,1601,Taloqan,2016-04-17,Flood / flash flood,1,2,2542,369,306,63,Spring,36.742722,69.523116
North Eastern,16,Takhar,1615,Eshkmesh,2016-04-17,Flood / flash flood,0,0,42,9,9,0,Spring,36.390203,69.386506
Central Highland,22,Daykundi,2206,Shahrestan,2016-04-17,Flood / flash flood,0,0,54,7,3,5,Spring,33.694575,66.480494
North Eastern,17,Kunduz,1701,Kunduz,2016-04-17,Flood / flash flood,0,0,14,2,0,2,Spring,36.792264,68.86046
Northern,19,Samangan,1901,Aybak,2016-04-17,Flood / flash flood,0,0,620,107,73,34,Spring,36.235103,68.237777
North Eastern,16,Takhar,1601,Taloqan,2016-04-18,Flood / flash flood,6,6,1072,180,156,23,Spring,36.742722,69.523116
Northern,18,Balkh,1809,Khulm,2016-04-18,Flood / flash flood,0,0,54,9,6,3,Spring,36.842767,67.681307
North Eastern,16,Takhar,1601,Taloqan,2016-04-19,Flood / flash flood,2,1,212,32,29,3,Spring,36.742722,69.523116
North Eastern,9,Baghlan,907,Khenjan,2016-04-19,Flood / flash flood,0,0,175,25,22,3,Spring,35.453058,68.986856
Eastern,6,Nangarhar,605,Chaparhar,2016-04-19,Flood / flash flood,0,2,76,9,5,4,Spring,34.298027,70.367422
North Eastern,9,Baghlan,905,Nahrin,2016-04-19,Flood / flash flood,1,1,483,69,49,20,Spring,36.004002,69.020081
Central Highland,22,Daykundi,2207,Sang-e-Takht,2016-04-20,Flood / flash flood,1,0,7,1,0,0,Spring,34.178306,65.86074
Western,21,Ghor,2102,Charsadra,2016-04-21,Landslide / mudflow,0,0,0,0,50,0,Spring,35.115234,65.017518
Capital,3,Parwan,310,Surkh-e- Parsa,2016-04-22,Flood / flash flood,0,0,83,13,11,2,Spring,34.742986,68.643355
Capital,3,Parwan,303,Shinwari,2016-04-22,Flood / flash flood,0,0,130,20,13,7,Spring,35.135028,68.973098
Capital,3,Parwan,301,Charikar,2016-04-22,Flood / flash flood,0,0,120,22,16,6,Spring,34.955632,69.120882
Capital,3,Parwan,304,Bagram,2016-04-22,Flood / flash flood,0,0,48,6,1,5,Spring,34.905671,69.377716
Capital,3,Parwan,306,Salang,2016-04-22,Flood / flash flood,0,0,50,6,2,4,Spring,35.293998,69.163208
Capital,3,Parwan,305,Saydkhel,2016-04-22,Flood / flash flood,0,0,42,5,4,1,Spring,35.04724,69.282208
Capital,3,Parwan,302,Jabalussaraj,2016-04-22,Flood / flash flood,0,0,25,3,1,2,Spring,35.12966,69.202044
Capital,3,Parwan,307,Ghorband,2016-04-22,Flood / flash flood,0,0,64,11,6,5,Spring,34.987058,68.799341
North Eastern,15,Badakhshan,1501,Fayzabad,2016-04-27,Flood / flash flood,0,0,21,2,0,1,Spring,37.217022,70.62815
Northern,19,Samangan,1907,Ruy-e-Duab,2016-05-02,Flood / flash flood,0,0,426,97,90,7,Spring,35.611123,67.76801
Northern,19,Samangan,1901,Aybak,2016-05-02,Flood / flash flood,0,2,1980,365,239,95,Spring,36.235103,68.237777
Western,21,Ghor,2101,Chaghcharan,2016-05-02,Flood / flash flood,0,0,902,117,79,38,Spring,34.524334,65.238265
North Eastern,15,Badakhshan,1503,Argo,2016-05-02,Flood / flash flood,0,0,56,9,9,0,Spring,37.031002,70.413852
Western,21,Ghor,2103,DoLayna,2016-05-02,Flood / flash flood,0,0,21,2,0,2,Spring,34.072791,64.861074
Central Highland,10,Bamyan,1002,Sayghan,2016-05-03,Flood / flash flood,0,0,278,50,35,15,Spring,35.124416,67.624207
Capital,5,Logar,501,Pul-e-Alam,2016-05-03,Flood / flash flood,0,0,299,50,37,13,Spring,33.991566,69.046969
Northern,19,Samangan,1901,Aybak,2016-05-03,Flood / flash flood,0,0,163,18,17,1,Spring,36.235103,68.237777
Capital,5,Logar,502,Khoshi,2016-05-03,Flood / flash flood,0,0,109,16,16,0,Spring,33.992404,69.292073
Capital,4,Wardak,401,Maydanshahr,2016-05-03,Flood / flash flood,0,0,415,76,34,13,Spring,34.464309,68.848882
Capital,4,Wardak,406,Chak,2016-05-03,Flood / flash flood,0,0,222,44,22,21,Spring,34.085404,68.516192
Capital,4,Wardak,407,Saydabad,2016-05-03,Flood / flash flood,0,0,236,43,43,0,Spring,33.934723,68.676363
Western,21,Ghor,2101,Chaghcharan,2016-05-03,Flood / flash flood,0,0,165,23,17,6,Spring,34.524334,65.238265
Capital,4,Wardak,403,Nerkh,2016-05-03,Flood / flash flood,0,0,82,15,11,4,Spring,34.326461,68.771485
Capital,1,Kabul,101,Kabul,2016-05-03,Flood / flash flood,1,0,672,96,48,48,Spring,34.527913,69.169074
Central Highland,10,Bamyan,1004,Panjab,2016-05-04,Flood / flash flood,0,0,770,52,5,47,Spring,34.38689,66.930673
Central Highland,10,Bamyan,1003,Yakawlang,2016-05-04,Flood / flash flood,0,0,55,7,0,7,Spring,35.039948,66.994871
Central Highland,10,Bamyan,1007,Waras,2016-05-04,Flood / flash flood,0,0,878,108,48,60,Spring,34.163208,66.930112
North Eastern,15,Badakhshan,1510,Darayem,2016-05-09,Flood / flash flood,5,0,1909,404,53,37,Spring,36.892505,70.412044
Northern,19,Samangan,1906,Khuram Wa Sarbagh,2016-05-10,Flood / flash flood,0,0,129,36,35,1,Spring,35.946376,68.057426
Northern,19,Samangan,1907,Ruy-e-Duab,2016-05-10,Flood / flash flood,1,0,383,100,86,14,Spring,35.611123,67.76801
Northern,19,Samangan,1905,Dara-e Suf-e-Bala,2016-05-10,Flood / flash flood,1,0,712,97,82,15,Spring,35.607098,67.254314
North Eastern,15,Badakhshan,1519,Tagab,2016-05-10,Flood / flash flood,1,1,1708,244,144,100,Spring,36.479764,70.341949
North Eastern,15,Badakhshan,1512,Baharak,2016-05-10,Flood / flash flood,0,0,66,13,0,2,Spring,37.017329,70.910623
North Eastern,9,Baghlan,907,Khenjan,2016-05-11,Flood / flash flood,0,0,128,35,24,11,Spring,35.453058,68.986856
Eastern,13,Kunar,1311,Barkunar,2016-05-11,Flood / flash flood,0,0,28,4,0,4,Spring,35.062438,71.392415
North Eastern,15,Badakhshan,1527,Zebak,2016-05-11,Flood / flash flood,0,0,100,15,15,0,Spring,36.361303,71.272312
North Eastern,15,Badakhshan,1513,Shuhada,2016-05-11,Flood / flash flood,0,0,1948,215,174,32,Spring,37.061091,71.185928
North Eastern,9,Baghlan,903,Dahana-e-Ghori,2016-05-11,Flood / flash flood,0,0,525,75,16,59,Spring,35.819115,68.42162
North Eastern,9,Baghlan,913,Khost Wa Fereng,2016-05-11,Flood / flash flood,0,0,314,80,67,13,Spring,35.983007,69.526947
Western,21,Ghor,2101,Chaghcharan,2016-05-11,Flood / flash flood,0,0,29,3,0,3,Spring,34.524334,65.238265
North Eastern,9,Baghlan,911,Pul-e- Hesar,2016-05-11,Flood / flash flood,0,0,9,2,2,0,Spring,35.58662,69.535737
North Eastern,15,Badakhshan,1512,Baharak,2016-05-11,Flood / flash flood,1,0,1804,381,30,17,Spring,37.017329,70.910623
North Eastern,15,Badakhshan,1519,Tagab,2016-05-11,Flood / flash flood,1,0,469,83,38,45,Spring,36.479764,70.341949
