REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Individuals_affected,Families_affected,Houses_damaged,Houses_destroyed,Season,Latitude,Longitude
North Eastern,15,Badakhshan,1507,Yawan,2017-04-19,Flood / flash flood,0,0,0,0,0,0,Spring,37.514601,70.388243
Northern,19,Samangan,1901,Aybak,2017-04-20,Flood / flash flood,0,0,98,14,13,1,Spring,36.235103,68.237777
North Eastern,16,Takhar,1609,Rostaq,2017-04-20,Flood / flash flood,0,0,203,29,23,6,Spring,37.110428,69.836849
North Eastern,9,Baghlan,909,Khwajahejran,2017-04-20,Flood / flash flood,0,0,189,27,16,11,Spring,35.993359,69.294979
North Eastern,15,Badakhshan,1509,Teshkan,2017-04-20,Flood / flash flood,0,0,665,95,32,63,Spring,36.800862,70.366348
North Eastern,9,Baghlan,905,Nahrin,2017-04-20,Flood / flash flood,2,0,315,45,31,14,Spring,36.004002,69.020081
Central Highland,10,Bamyan,1003,Yakawlang,2017-04-20,Flood / flash flood,0,0,40,5,0,5,Spring,35.039948,66.994871
Northern,18,Balkh,1815,Keshendeh,2017-04-20,Flood / flash flood,1,0,693,99,99,0,Spring,35.926279,66.929505
North Eastern,9,Baghlan,908,Andarab,2017-04-20,Flood / flash flood,2,0,210,30,9,21,Spring,35.604741,69.187513
North Eastern,9,Baghlan,901,Pul-e-Khumri,2017-04-20,Flood / flash flood,1,0,1904,272,158,114,Spring,36.011946,68.636293
North Eastern,16,Takhar,1608,Kalafgan,2017-04-21,Flood / flash flood,0,0,14,2,2,0,Spring,36.780002,69.908015
North Eastern,16,Takhar,1601,Taloqan,2017-04-21,Flood / flash flood,0,0,140,20,16,4,Spring,36.742722,69.523116
North Eastern,15,Badakhshan,1502,Yaftal-e-Sufla,2017-04-21,Flood / flash flood,0,0,161,23,10,0,Spring,37.29251,70.36165
Eastern,13,Kunar,1301,Asadabad,2017-04-21,Flood / flash flood,0,0,32,4,4,0,Spring,34.859883,71.117064
North Eastern,15,Badakhshan,1510,Darayem,2017-04-21,Flood / flash flood,0,0,980,140,115,25,Spring,36.892505,70.412044
